weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade
14.8,100.0,4.8,100.0,A
17.4,100.0,2.8,99.1,A
28.1,98.9,8.1,100.0,A
15.7,84.8,5.3,89.6,A
19.2,81.5,6.2,92.6,A
8.2,71.1,6.5,52.9,D
20.4,62.7,4.1,95.8,A
11.3,81.4,4.3,89.0,A
15.5,87.9,2.9,100.0,A
14.2,75.3,6.8,76.0,B
22.2,91.3,4.3,100.0,A
5.8,90.5,3.7,73.8,B
0.0,85.2,3.8,32.5,F
13.5,85.4,3.9,79.8,B
18.3,78.0,4.0,100.0,A
16.1,81.4,4.6,100.0,A
23.6,88.1,7.2,100.0,A
18.1,95.9,8.1,97.9,A
11.1,92.6,4.9,65.1,C
0.0,75.6,7.8,45.9,D
13.3,73.5,5.5,76.4,B
22.2,77.1,6.7,100.0,A
12.3,75.5,2.5,70.8,B
15.2,88.1,6.4,80.9,B
17.9,94.5,6.2,73.1,B
7.9,88.4,6.0,59.9,C
19.4,89.2,6.5,78.8,B
26.5,82.0,5.3,100.0,A
13.8,98.6,4.4,78.5,B
7.1,74.8,7.9,52.4,D
14.5,84.7,6.3,90.8,A
0.0,88.4,5.1,52.0,D
17.4,93.5,7.0,93.3,A
18.2,97.8,4.7,100.0,A
26.7,77.9,5.3,100.0,A
13.6,91.8,6.9,97.4,A
17.9,83.2,4.1,100.0,A
9.0,83.2,4.1,73.7,B
12.5,78.1,5.8,85.0,B
4.3,86.7,7.0,61.6,C
13.6,69.3,4.2,85.3,A
12.9,84.9,8.8,63.7,C
17.1,78.4,4.9,87.2,A
10.6,100.0,4.3,71.7,B
15.6,86.2,6.4,100.0,A
12.7,95.0,6.9,75.5,B
12.7,80.6,1.9,59.6,C
15.6,81.1,6.1,93.7,A
15.3,81.7,7.9,75.0,B
20.3,84.3,4.9,100.0,A
14.2,90.4,6.7,89.0,A
12.6,84.3,3.3,97.0,A
13.7,85.9,6.1,76.2,B
10.0,81.5,4.6,81.9,B
12.5,98.3,8.1,92.0,A
29.2,86.2,6.4,100.0,A
8.6,79.6,4.9,53.2,D
13.0,83.9,6.0,85.3,A
12.3,87.5,3.8,88.3,A
13.3,92.3,5.9,73.0,B
12.7,76.2,5.4,89.4,A
17.0,79.8,3.1,89.7,A
3.0,82.6,3.1,50.1,D
22.3,74.9,9.0,100.0,A
19.4,81.9,5.6,90.1,A
6.3,72.7,3.7,58.7,C
0.0,68.4,10.0,50.8,D
8.2,76.1,6.5,72.8,B
13.3,99.8,7.1,94.3,A
33.1,84.0,6.3,100.0,A
18.8,74.5,2.4,90.7,A
2.3,66.5,6.5,61.4,C
10.2,68.4,7.7,78.4,B
14.6,84.4,10.0,84.1,B
16.8,82.1,10.0,96.9,A
5.8,91.3,7.4,69.2,C
14.1,97.7,3.2,83.1,B
10.0,96.1,3.9,77.1,B
7.3,93.8,6.4,69.5,C
16.8,82.4,7.5,71.5,B
20.4,90.8,3.3,99.6,A
20.9,91.5,6.7,100.0,A
19.0,85.6,7.3,98.6,A
11.5,79.5,2.0,84.1,B
20.0,83.9,9.0,90.8,A
17.2,83.6,6.6,84.7,B
15.9,88.3,5.2,100.0,A
10.7,93.1,7.2,84.3,B
11.5,79.2,7.3,67.7,C
15.5,87.4,5.3,98.3,A
32.1,92.4,9.3,100.0,A
17.1,83.0,4.1,92.2,A
10.7,76.5,3.7,73.1,B
9.2,88.9,7.2,67.2,C
11.6,100.0,7.7,69.7,C
30.2,92.5,4.9,100.0,A
12.2,94.2,7.0,74.1,B
21.3,100.0,8.9,100.0,A
12.4,98.5,6.7,77.5,B
16.8,96.3,8.8,95.3,A
20.5,100.0,6.9,100.0,A
11.0,97.4,5.7,87.9,A
10.5,95.8,8.3,81.2,B
26.6,74.5,4.9,100.0,A
21.9,87.0,7.5,93.5,A
20.5,81.8,8.5,100.0,A
20.5,89.4,9.8,100.0,A
18.2,92.7,7.2,100.0,A
29.1,97.2,5.7,100.0,A
15.3,81.8,4.6,86.1,A
19.0,86.1,7.4,87.8,A
4.8,83.7,4.8,77.4,B
9.2,78.5,5.0,81.5,B
6.6,84.8,6.9,71.8,B
23.9,66.2,8.6,100.0,A
0.0,75.1,5.7,45.9,D
12.2,98.1,4.7,75.9,B
0.0,91.8,8.5,58.5,C
9.2,88.2,4.3,85.1,A
11.6,91.3,5.6,72.5,B
24.7,83.0,8.0,100.0,A
17.8,83.0,8.6,96.8,A
9.2,68.5,3.6,71.7,B
22.5,85.8,2.4,100.0,A
15.1,83.2,8.4,100.0,A
15.3,82.4,4.4,98.5,A
6.6,74.4,4.7,68.8,C
8.1,65.2,5.6,78.4,B
9.2,95.7,5.1,81.0,B
15.3,72.5,4.0,86.1,A
15.5,95.7,5.9,84.1,B
25.8,100.0,4.8,100.0,A
17.7,81.4,4.0,97.5,A
0.0,83.0,9.5,52.0,D
16.8,78.9,5.4,77.1,B
4.8,88.5,2.8,53.7,D
8.2,74.7,4.5,57.8,C
9.3,73.7,8.0,60.2,C
10.4,64.6,3.8,82.8,B
5.4,91.7,5.5,64.7,C
16.4,100.0,6.4,77.1,B
5.1,91.4,8.3,45.1,D
17.5,85.2,4.1,100.0,A
30.7,75.4,6.4,100.0,A
5.7,100.0,4.2,66.5,C
13.0,87.1,5.4,84.2,B
0.0,79.9,6.6,53.3,D
12.9,94.7,4.1,69.4,C
19.5,76.7,8.6,76.1,B
20.0,100.0,4.9,100.0,A
15.5,88.7,5.9,100.0,A
21.2,84.3,5.8,91.2,A
32.8,70.0,5.1,100.0,A
27.0,78.4,6.5,100.0,A
11.3,79.2,5.5,100.0,A
4.8,100.0,5.6,65.5,C
12.2,98.3,6.2,96.3,A
8.4,87.0,6.1,70.8,B
18.2,78.3,7.1,98.4,A
6.7,95.2,6.3,63.0,C
14.5,100.0,8.8,96.3,A
20.9,95.3,6.3,98.9,A
14.3,91.1,7.9,86.1,A
8.4,94.3,8.7,76.2,B
23.2,100.0,6.4,100.0,A
1.8,84.6,10.0,61.1,C
12.7,87.0,3.6,65.5,C
14.7,83.4,1.8,98.2,A
15.1,98.6,4.5,83.9,B
16.3,93.6,7.5,91.7,A
19.3,89.0,7.1,100.0,A
14.8,79.0,4.4,81.7,B
12.4,68.5,8.6,82.2,B
12.1,71.2,6.8,78.0,B
10.7,80.4,7.4,87.1,A
20.5,100.0,10.0,100.0,A
10.5,84.0,5.2,88.1,A
20.9,79.3,5.9,100.0,A
15.1,80.5,5.3,93.3,A
11.4,94.8,6.2,79.6,B
19.3,59.9,9.4,100.0,A
9.9,86.2,8.0,70.4,B
19.5,81.8,4.8,100.0,A
16.5,67.4,5.0,100.0,A
10.8,79.8,6.8,100.0,A
18.7,88.0,6.0,100.0,A
18.8,100.0,7.0,100.0,A
23.1,75.2,5.2,94.3,A
21.8,77.8,5.4,100.0,A
18.4,84.5,5.8,100.0,A
7.1,86.6,5.5,62.2,C
32.1,81.7,4.1,100.0,A
5.2,90.1,4.6,63.2,C
21.6,79.9,5.1,100.0,A
18.0,100.0,6.8,100.0,A
6.8,84.6,4.6,65.2,C
14.1,72.2,6.4,81.3,B
14.4,85.9,6.4,82.6,B
24.1,89.7,4.4,100.0,A
10.0,80.4,3.6,75.5,B
13.2,89.7,6.1,89.2,A
0.0,83.8,7.9,36.2,F
27.1,97.6,7.7,100.0,A
7.5,85.2,5.4,65.5,C
17.3,66.0,6.7,82.7,B
14.3,69.6,3.0,93.9,A
14.3,88.5,6.1,98.5,A
20.7,88.3,8.9,100.0,A
26.7,78.5,7.9,100.0,A
16.8,79.6,6.3,91.1,A
19.6,70.8,8.2,94.4,A
17.3,80.9,6.1,85.8,A
22.1,89.8,6.4,100.0,A
11.8,80.9,6.8,66.6,C
22.5,74.8,6.5,100.0,A
22.8,88.5,3.6,100.0,A
22.6,88.4,5.3,92.9,A
10.4,85.6,4.8,73.0,B
13.8,78.1,6.8,97.4,A
16.7,65.6,7.4,100.0,A
5.4,81.9,6.6,79.4,B
26.2,82.0,6.2,100.0,A
14.9,81.2,4.5,89.9,A
17.0,85.0,10.0,90.0,A
11.0,78.7,8.1,95.7,A
5.7,100.0,8.5,59.1,C
10.8,90.8,5.1,80.7,B
16.5,78.9,3.7,67.2,C
19.7,80.6,6.3,100.0,A
16.1,76.2,3.9,84.2,B
17.4,100.0,7.6,91.4,A
12.6,73.1,7.3,84.3,B
18.5,95.4,5.6,92.2,A
25.4,82.4,7.6,99.9,A
19.9,74.0,5.8,86.5,A
20.7,94.1,6.3,100.0,A
17.1,89.4,2.8,94.9,A
4.5,76.4,10.0,61.3,C
7.7,82.6,4.9,71.0,B
18.2,86.1,8.4,87.9,A
14.9,100.0,6.4,84.3,B
18.1,76.6,10.0,91.7,A
26.7,85.0,9.1,100.0,A
20.1,85.7,7.6,100.0,A
23.8,93.2,7.7,100.0,A
15.7,64.7,4.9,82.2,B
9.3,90.3,5.5,72.5,B
14.6,81.1,3.4,100.0,A
9.4,82.0,4.7,81.8,B
25.9,100.0,3.2,100.0,A
20.5,78.3,5.6,88.5,A
18.6,78.7,3.5,94.7,A
23.7,78.0,6.4,100.0,A
0.9,69.3,9.9,28.4,F
19.1,83.9,5.2,100.0,A
5.8,82.1,7.1,75.9,B
14.9,100.0,2.7,88.8,A
12.8,85.6,6.4,95.8,A
19.6,87.3,6.5,95.6,A
16.6,71.9,8.1,96.0,A
24.4,70.0,6.4,100.0,A
10.8,80.2,5.3,76.5,B
20.0,91.7,5.1,100.0,A
16.1,92.5,6.4,83.3,B
3.6,75.8,6.1,46.3,D
8.6,79.8,6.4,72.5,B
14.0,93.4,3.6,98.1,A
22.8,96.7,4.4,100.0,A
18.2,85.2,9.0,100.0,A
6.8,88.5,6.6,76.1,B
14.0,83.0,5.6,81.8,B
29.1,92.5,5.6,100.0,A
15.8,74.0,9.0,94.1,A
12.7,96.7,4.1,86.1,A
18.4,77.5,9.1,84.1,B
20.3,76.3,7.1,93.7,A
11.8,88.0,4.8,83.2,B
18.5,98.6,6.7,91.8,A
12.7,82.2,5.2,97.6,A
20.0,84.4,1.8,97.2,A
16.2,88.1,4.0,72.5,B
18.4,94.1,8.0,89.4,A
9.7,81.6,4.8,86.8,A
9.3,82.6,7.2,67.7,C
21.6,81.1,8.5,85.0,B
14.4,100.0,5.9,87.9,A
17.0,86.1,7.6,96.8,A
12.9,71.5,2.8,72.0,B
21.3,96.1,7.8,100.0,A
10.7,89.0,8.4,83.6,B
14.1,70.3,7.1,81.4,B
20.5,86.7,7.4,100.0,A
23.2,82.7,1.5,86.8,A
11.3,66.2,1.4,88.4,A
28.7,93.6,3.2,100.0,A
17.2,67.2,5.2,100.0,A
7.7,90.0,5.0,72.5,B
17.6,89.1,8.4,91.6,A
12.3,81.4,3.7,81.3,B
18.0,73.9,6.0,85.7,A
14.7,67.4,6.7,100.0,A
15.5,92.8,6.2,91.6,A
8.6,83.2,8.5,73.7,B
21.9,96.4,7.1,98.5,A
6.9,92.5,6.5,79.6,B
7.2,82.4,6.0,73.9,B
17.6,88.4,6.3,100.0,A
26.2,98.9,4.3,96.5,A
12.5,90.3,7.8,73.6,B
19.9,86.5,8.4,100.0,A
22.5,83.9,1.3,92.9,A
20.7,96.4,5.3,100.0,A
12.8,86.6,5.7,81.2,B
7.4,80.3,5.0,78.6,B
0.0,74.3,5.2,45.1,D
13.2,100.0,6.1,74.0,B
23.2,81.4,4.2,99.0,A
7.1,74.0,7.2,88.2,A
19.9,86.6,6.6,100.0,A
8.3,89.9,6.1,74.9,B
15.7,98.9,4.4,76.5,B
20.0,88.5,3.0,95.5,A
10.4,86.1,7.2,76.9,B
16.2,87.9,8.5,73.3,B
12.1,84.2,2.4,75.9,B
19.9,92.3,5.9,84.1,B
16.6,81.4,5.8,100.0,A
15.4,89.0,7.2,93.9,A
25.9,79.3,5.9,100.0,A
19.6,92.0,8.4,100.0,A
10.2,93.8,5.2,80.4,B
14.4,74.5,6.3,88.8,A
14.5,87.4,6.9,87.8,A
15.6,90.2,5.5,93.7,A
32.7,72.8,6.3,100.0,A
17.6,68.1,6.9,100.0,A
0.7,76.3,6.3,51.2,D
11.2,99.1,2.6,87.6,A
1.5,74.7,5.9,49.5,D
12.7,64.7,7.2,93.2,A
1.1,85.2,3.8,47.6,D
8.9,96.9,6.3,61.5,C
4.4,73.0,9.0,59.7,C
17.7,84.1,5.8,88.5,A
15.0,70.1,5.6,88.0,A
17.1,77.6,8.9,98.3,A
14.3,91.7,2.6,77.1,B
5.2,89.9,7.4,68.8,C
18.6,69.2,2.5,100.0,A
28.5,92.1,6.6,100.0,A
17.9,83.8,7.9,83.1,B
12.0,100.0,5.0,79.3,B
5.0,68.6,10.0,60.9,C
8.6,76.3,8.0,79.3,B
18.2,78.8,5.7,100.0,A
22.5,100.0,3.6,100.0,A
16.8,94.6,3.6,82.1,B
20.6,69.2,6.3,100.0,A
20.0,88.9,4.1,92.6,A
18.5,99.6,3.2,93.1,A
10.4,81.7,4.6,67.8,C
16.2,81.4,3.2,99.7,A
9.1,78.4,8.9,73.3,B
15.1,64.2,4.1,81.3,B
17.3,75.8,7.8,94.1,A
26.8,86.8,7.7,100.0,A
5.8,98.5,4.4,63.6,C
18.4,79.6,5.9,100.0,A
25.4,82.5,7.1,100.0,A
20.3,73.4,5.5,90.9,A
20.8,74.1,6.7,94.9,A
19.1,100.0,5.9,87.0,A
24.1,99.5,6.7,100.0,A
7.4,83.6,5.7,90.2,A
5.3,83.5,6.0,67.6,C
15.0,73.8,10.0,70.2,B
0.0,91.8,4.4,58.5,C
23.6,71.1,7.7,100.0,A
23.5,74.4,6.2,90.5,A
12.0,79.4,3.0,64.1,C
12.4,90.0,5.2,74.3,B
14.5,88.6,8.1,77.0,B
15.4,96.7,4.4,83.5,B
15.9,84.9,10.0,84.6,B
18.9,73.2,8.2,100.0,A
13.8,83.1,4.4,100.0,A
21.6,55.6,3.2,95.8,A
18.1,74.2,2.9,91.6,A
10.8,92.1,7.9,89.2,A
24.3,95.9,7.4,100.0,A
5.5,57.9,8.1,60.3,C
14.4,85.6,7.1,66.1,C
21.8,99.9,2.4,100.0,A
9.9,100.0,4.1,69.5,C
17.2,86.7,8.2,92.4,A
18.8,100.0,4.5,100.0,A
9.0,73.7,10.0,72.7,B
14.5,88.9,4.9,85.1,A
13.9,88.4,5.1,81.8,B
11.1,72.8,3.8,82.3,B
31.1,85.7,3.8,100.0,A
9.7,89.1,3.9,70.4,B
22.0,96.9,6.8,100.0,A
12.3,100.0,7.6,81.9,B
7.4,83.2,4.4,66.8,C
15.7,92.2,9.2,85.4,A
19.5,86.1,6.9,97.2,A
21.4,79.3,5.0,92.6,A
25.9,84.0,2.9,100.0,A
35.6,78.5,7.1,100.0,A
16.8,100.0,7.1,100.0,A
10.4,100.0,10.0,76.7,B
18.2,99.3,7.6,78.0,B
13.1,70.1,5.4,78.7,B
21.5,79.5,6.9,100.0,A
5.9,91.6,9.1,58.5,C
31.6,86.4,7.0,100.0,A
21.0,83.7,5.0,97.5,A
3.2,90.2,6.0,40.1,D
10.0,68.7,4.7,94.4,A
20.7,76.3,4.3,83.1,B
23.2,78.8,5.5,100.0,A
6.1,84.3,6.7,73.2,B
20.0,76.6,8.2,94.0,A
1.4,76.5,4.3,53.2,D
14.4,96.5,6.4,78.6,B
22.8,77.8,8.0,100.0,A
11.1,92.0,3.0,74.1,B
4.5,78.4,1.4,59.6,C
16.0,100.0,6.6,96.9,A
10.8,84.5,5.6,72.1,B
19.4,63.4,7.5,92.2,A
8.8,87.5,5.4,74.4,B
9.6,67.0,5.3,84.5,B
0.9,100.0,9.8,52.6,D
16.2,88.7,6.2,96.0,A
13.9,78.3,5.7,88.1,A
6.7,59.5,10.0,78.9,B
16.4,80.1,8.8,89.2,A
22.2,90.9,0.5,100.0,A
13.5,90.4,6.5,70.3,B
16.9,100.0,3.7,94.2,A
16.9,76.3,4.3,100.0,A
6.6,89.0,7.0,79.8,B
29.4,83.7,5.5,100.0,A
11.7,73.5,3.1,60.0,C
19.6,82.4,5.4,90.7,A
20.4,68.2,3.6,100.0,A
14.0,90.6,2.8,81.6,B
19.2,87.1,5.5,100.0,A
16.7,99.4,7.1,91.7,A
5.1,94.3,8.6,64.6,C
12.7,83.1,4.7,69.3,C
10.7,70.0,7.4,71.6,B
11.8,100.0,4.8,89.0,A
5.9,100.0,7.9,74.5,B
22.9,98.1,7.3,100.0,A
26.2,83.8,4.3,100.0,A
21.8,100.0,4.6,100.0,A
23.9,78.6,2.8,100.0,A
12.6,94.2,3.9,82.9,B
10.5,77.7,5.8,86.7,A
9.5,97.7,4.8,66.5,C
19.5,83.5,5.4,100.0,A
16.6,86.3,6.3,81.4,B
14.5,82.3,7.9,69.0,C
24.1,78.6,5.3,93.7,A
17.8,70.4,9.5,89.7,A
9.1,55.4,10.0,72.3,B
10.2,80.8,5.4,83.0,B
19.8,100.0,6.5,99.4,A
22.3,85.4,5.6,100.0,A
18.9,93.2,8.3,92.5,A
28.3,100.0,2.6,100.0,A
26.4,78.5,8.9,100.0,A
18.1,87.2,8.8,80.0,B
9.1,84.2,5.6,77.3,B
5.8,94.2,8.7,62.3,C
12.3,81.3,2.7,68.9,C
20.3,91.5,7.5,97.9,A
27.8,76.2,8.9,100.0,A
17.9,76.5,5.5,88.2,A
23.2,77.6,5.1,100.0,A
13.3,88.2,4.6,96.1,A
19.4,71.4,3.7,100.0,A
20.8,71.0,5.0,97.7,A
1.1,87.4,5.1,54.0,D
12.1,81.6,3.3,62.4,C
21.6,95.9,4.1,100.0,A
16.9,93.9,8.7,100.0,A
6.6,95.9,4.7,66.6,C
0.0,82.3,6.0,53.2,D
12.4,85.0,6.6,74.3,B
14.5,75.3,2.1,76.9,B
8.8,92.2,5.7,86.4,A
16.0,91.2,5.5,100.0,A
18.5,93.0,8.5,93.4,A
19.7,86.2,6.7,96.7,A
0.0,91.0,4.0,56.0,C
5.8,87.1,3.5,66.6,C
12.9,87.5,9.4,69.6,C
19.0,82.1,7.0,100.0,A
18.4,81.6,6.9,96.3,A
18.3,87.5,9.0,88.2,A
12.3,56.2,8.9,75.2,B
12.7,77.9,5.5,97.4,A
9.9,76.7,6.0,75.2,B
20.4,76.2,5.4,88.2,A
8.6,92.2,2.8,85.1,A
21.0,79.2,6.7,90.0,A
16.5,94.9,7.2,80.2,B
14.7,78.0,5.6,77.9,B
10.4,92.2,5.3,82.6,B
5.5,86.1,6.1,57.6,C
10.5,97.1,10.0,72.3,B
12.7,100.0,4.2,74.1,B
0.0,87.9,5.4,48.4,D
13.6,89.0,6.2,91.4,A
21.5,100.0,5.6,90.7,A
19.0,73.6,5.6,98.9,A
11.5,80.7,6.6,73.3,B
15.3,83.7,7.7,85.5,A
11.1,59.6,10.0,75.4,B
16.0,86.4,5.0,86.2,A
25.8,77.1,7.2,100.0,A
21.8,87.3,9.8,100.0,A
18.6,70.8,8.2,92.6,A
11.5,100.0,9.1,89.3,A
20.2,100.0,6.7,100.0,A
3.2,75.9,2.2,61.7,C
13.2,68.0,6.0,82.8,B
19.1,88.7,3.3,96.1,A
20.2,80.5,9.5,100.0,A
19.7,87.7,0.0,100.0,A
17.1,86.0,4.9,97.1,A
13.6,100.0,4.5,85.7,A
18.8,86.2,4.5,84.1,B
8.3,81.6,6.4,75.1,B
9.1,72.3,6.5,76.2,B
15.4,78.9,5.1,64.7,C
16.2,99.8,0.1,82.5,B
2.2,99.2,8.2,56.3,C
18.2,86.4,4.5,74.8,B
20.4,81.7,2.9,94.0,A
14.5,87.2,5.4,85.1,A
31.6,87.4,3.7,100.0,A
10.2,92.2,7.0,74.9,B
12.5,95.6,7.6,90.9,A
12.2,69.7,4.3,80.7,B
14.5,71.4,7.1,95.9,A
12.7,82.5,5.3,79.8,B
5.2,82.2,4.5,56.7,C
11.2,94.2,8.2,85.1,A
14.3,69.2,7.0,98.2,A
23.6,90.5,5.8,100.0,A
30.4,82.5,8.1,100.0,A
24.3,85.8,8.0,100.0,A
9.6,71.3,5.7,67.4,C
10.1,91.2,6.2,73.2,B
13.9,82.1,6.3,83.6,B
27.5,94.7,5.5,99.3,A
13.8,90.3,6.6,99.3,A
5.7,86.0,4.7,73.7,B
11.5,93.0,6.9,72.1,B
20.3,100.0,4.7,100.0,A
19.8,65.7,5.0,100.0,A
13.6,90.2,5.5,77.6,B
19.8,87.8,3.6,100.0,A
0.0,86.4,4.7,39.4,F
15.7,99.5,8.5,84.3,B
21.0,74.1,5.3,100.0,A
9.2,75.8,5.2,73.2,B
9.1,88.9,4.9,74.9,B
1.9,90.1,3.9,72.1,B
26.1,79.7,5.6,100.0,A
10.0,85.2,7.2,64.7,C
16.7,97.5,9.5,100.0,A
19.2,85.6,8.6,100.0,A
25.6,90.4,7.2,100.0,A
13.9,98.4,5.1,72.4,B
11.2,58.6,8.1,78.6,B
16.2,75.7,4.9,92.1,A
24.0,93.8,5.0,100.0,A
13.8,85.0,8.6,85.7,A
8.3,77.9,4.6,67.4,C
4.2,98.0,0.9,58.7,C
6.5,69.5,4.3,57.4,C
21.1,85.2,6.9,87.4,A
12.8,89.7,2.5,81.6,B
10.7,88.5,6.8,76.3,B
10.0,81.3,2.2,95.5,A
15.6,92.4,7.3,83.2,B
13.3,73.9,8.0,84.5,B
13.1,100.0,5.8,75.3,B
24.4,92.1,6.4,92.9,A
25.8,83.0,5.4,100.0,A
3.7,100.0,2.6,67.9,C
17.3,85.0,7.4,67.2,C
9.6,88.4,5.3,82.6,B
13.3,90.7,6.5,66.0,C
17.2,96.4,4.0,98.0,A
13.5,80.2,7.7,90.3,A
16.6,65.1,4.8,87.0,A
19.7,83.7,3.4,94.4,A
17.1,94.5,7.9,92.6,A
10.5,78.5,3.1,68.5,C
10.6,76.9,7.5,76.9,B
4.9,84.3,6.1,68.8,C
9.0,95.7,7.1,75.0,B
28.7,85.8,7.0,100.0,A
9.5,78.6,6.7,74.9,B
6.6,91.6,6.8,68.3,C
17.2,95.5,8.6,93.6,A
14.2,84.8,8.2,94.4,A
13.6,73.1,6.6,75.5,B
24.9,94.5,4.3,100.0,A
18.8,86.5,3.9,100.0,A
11.3,84.8,10.0,87.1,A
12.0,89.6,5.0,84.5,B
11.5,71.5,8.3,69.8,C
21.1,79.2,4.4,96.5,A
12.8,76.6,6.8,88.3,A
2.4,100.0,4.5,59.8,C
14.7,91.5,8.9,80.9,B
4.2,88.0,4.5,54.6,D
30.3,96.3,6.0,100.0,A
8.2,78.8,4.1,71.2,B
13.9,90.7,5.6,100.0,A
16.8,77.9,3.7,86.6,A
13.0,100.0,8.6,82.6,B
13.0,97.4,7.3,96.5,A
18.0,89.6,1.8,100.0,A
25.7,72.3,6.3,100.0,A
20.4,81.9,8.7,99.6,A
25.3,78.1,6.8,100.0,A
7.7,93.6,5.7,70.3,B
17.2,81.1,7.3,97.2,A
16.1,97.1,4.9,85.5,A
17.5,95.6,6.1,89.8,A
24.6,95.7,6.5,100.0,A
13.5,79.3,6.5,90.5,A
12.2,93.3,7.3,78.8,B
18.7,76.9,5.2,87.4,A
2.6,91.5,6.8,55.5,C
13.3,82.1,6.8,83.2,B
14.1,74.8,6.4,95.2,A
8.6,79.2,7.7,88.1,A
22.4,81.3,7.6,100.0,A
7.6,86.7,7.2,50.1,D
14.0,91.1,7.4,79.8,B
17.1,78.5,7.3,79.4,B
24.5,84.0,3.4,100.0,A
14.9,75.1,4.2,72.6,B
21.6,86.9,6.2,100.0,A
19.9,76.8,5.3,94.0,A
15.9,76.6,7.4,80.8,B
7.4,100.0,5.0,63.0,C
5.0,86.3,3.8,58.4,C
15.7,81.2,6.2,81.3,B
11.2,84.4,9.0,85.2,A
21.4,84.2,8.1,100.0,A
20.2,77.3,7.2,97.3,A
13.7,86.9,5.3,86.9,A
6.9,74.4,6.5,74.9,B
18.6,71.8,2.1,98.1,A
7.9,100.0,6.0,72.3,B
9.7,79.8,8.5,59.4,C
8.1,100.0,2.8,74.0,B
14.0,76.5,6.0,93.6,A
23.2,95.5,4.3,100.0,A
15.0,89.6,6.9,87.2,A
11.9,92.2,6.1,72.9,B
4.3,96.3,3.0,60.0,C
18.9,86.0,6.2,87.1,A
9.5,82.7,8.1,71.5,B
15.8,98.0,4.5,100.0,A
12.5,81.4,6.0,100.0,A
20.9,98.7,5.7,89.5,A
13.9,68.8,4.5,88.2,A
14.6,83.8,5.9,92.8,A
18.4,78.3,3.4,100.0,A
29.7,74.1,6.1,100.0,A
21.2,81.2,5.8,99.9,A
14.4,84.6,5.9,88.8,A
15.0,83.0,3.9,94.5,A
11.3,79.6,5.1,88.6,A
8.4,79.9,5.3,78.7,B
11.1,90.1,5.1,74.1,B
9.6,77.6,6.2,65.9,C
19.6,100.0,6.9,86.3,A
7.5,75.5,7.7,55.8,C
24.3,99.0,8.6,100.0,A
20.3,90.1,9.0,100.0,A
15.1,70.6,7.9,100.0,A
15.0,81.3,5.1,75.5,B
11.1,73.6,3.7,70.6,B
16.9,81.3,6.8,100.0,A
22.6,94.6,4.8,100.0,A
10.1,82.3,6.7,66.4,C
4.3,91.1,6.3,71.9,B
19.9,91.8,8.2,100.0,A
17.3,100.0,1.4,94.9,A
7.2,81.6,7.8,70.4,B
9.9,89.4,6.5,74.9,B
9.0,78.4,9.6,78.9,B
9.9,94.1,7.9,86.2,A
12.7,84.9,7.5,87.6,A
13.1,86.3,3.7,100.0,A
10.4,80.8,6.9,63.2,C
9.7,67.2,8.8,81.9,B
13.4,75.6,6.2,78.7,B
16.2,89.5,4.8,94.1,A
12.8,69.6,6.3,84.4,B
23.1,96.1,5.5,100.0,A
18.6,77.6,7.4,100.0,A
3.9,72.9,6.6,59.4,C
18.7,84.8,8.4,100.0,A
19.2,92.3,5.4,85.9,A
12.0,79.5,10.0,76.7,B
4.5,87.8,3.9,54.5,D
15.1,67.4,8.1,86.6,A
14.9,90.7,7.1,85.9,A
7.1,72.9,4.6,81.3,B
4.8,90.3,4.1,46.7,D
14.4,92.5,7.0,90.5,A
13.4,79.7,5.9,89.6,A
12.1,90.3,6.3,83.4,B
14.4,97.0,5.9,77.0,B
7.3,100.0,8.1,75.8,B
12.0,90.9,7.9,56.9,C
18.7,67.2,7.2,86.8,A
12.6,90.0,3.2,82.2,B
3.3,94.7,5.5,65.3,C
11.7,61.0,9.6,69.1,C
7.5,88.4,6.5,69.2,C
16.9,88.1,6.2,83.8,B
17.2,79.3,8.4,81.2,B
3.4,82.0,4.7,34.6,F
20.3,69.1,4.5,100.0,A
7.2,78.2,4.9,70.7,B
25.9,93.9,6.8,100.0,A
14.7,100.0,7.7,95.3,A
6.3,92.4,6.7,54.7,D
7.0,93.6,6.6,62.5,C
17.4,70.3,6.1,99.1,A
12.3,66.1,6.7,72.1,B
14.3,79.7,6.7,88.5,A
26.3,68.6,10.0,100.0,A
10.1,72.5,2.9,69.8,C
15.4,89.1,6.2,85.0,B
24.9,92.6,4.3,100.0,A
16.9,80.6,9.6,100.0,A
3.8,85.6,7.0,43.8,D
18.5,91.3,8.4,100.0,A
6.9,97.6,3.3,70.4,B
24.8,98.9,6.1,100.0,A
9.2,82.1,6.7,82.4,B
35.8,80.9,4.1,100.0,A
25.3,85.7,6.1,100.0,A
9.4,88.0,8.0,76.3,B
15.1,100.0,7.0,97.3,A
20.3,79.3,6.4,99.4,A
20.5,63.0,3.2,81.6,B
18.1,92.0,5.1,74.4,B
23.8,90.5,6.4,100.0,A
14.1,98.5,5.9,100.0,A
12.4,86.3,3.9,85.0,B
12.6,90.5,3.4,86.8,A
21.0,92.7,5.2,100.0,A
17.6,96.3,9.0,97.1,A
17.0,72.1,7.8,89.1,A
20.6,84.8,6.4,100.0,A
0.6,81.8,5.6,59.3,C
17.2,83.9,4.1,84.6,B
16.5,95.0,7.2,97.3,A
26.7,95.2,6.5,100.0,A
